,Title,Date,From Airport,To Airport,Stops,Total Duration [Hours],Economy Flex [JOD],Business Plus [JOD],0_takeoff-location,0_takeoff-loc,0_landing-location,0_landing-loc,0_departure-time,0_arrival-time,0_flight-duration [Hours],1_stop-duration [Hours],2_takeoff-location,2_takeoff-loc,2_landing-location,2_landing-loc,2_departure-time,2_arrival-time,2_flight-duration [Hours],Economy Plus [JOD]
0,Amman - San Francisco, Wednesday 19 July,Queen Alia (AMM),San Francisco International (SFO),1,21.43,1979.85,,Queen Alia,AMM,O Hare International,ORD,11:35,16:10,12.58,4.25,O Hare International,ORD,San Francisco International,SFO,20:25,23:01,4.6,
1,Amman - San Francisco, Wednesday 19 July,Queen Alia (AMM),San Francisco International (SFO),1,22.23,1979.85,2017.15,Queen Alia,AMM,John F. Kennedy International,JFK,12:15,17:05,11.83,3.58,John F. Kennedy International,JFK,San Francisco International,SFO,20:40,00:29,6.82,
2,Amman - San Francisco, Monday 24 July,Queen Alia (AMM),San Francisco International (SFO),1,21.43,1979.85,2157.05,Queen Alia,AMM,O Hare International,ORD,11:35,16:10,12.58,4.25,O Hare International,ORD,San Francisco International,SFO,20:25,23:01,4.6,
3,Amman - San Francisco, Monday 24 July,Queen Alia (AMM),San Francisco International (SFO),1,22.23,1145.55,2017.15,Queen Alia,AMM,John F. Kennedy International,JFK,12:15,17:05,11.83,3.58,John F. Kennedy International,JFK,San Francisco International,SFO,20:40,00:29,6.82,
4,Amman - San Francisco, Monday 24 July,Queen Alia (AMM),San Francisco International (SFO),1,24.27,1979.85,,Queen Alia,AMM,O Hare International,ORD,02:15,06:50,12.58,7.1,O Hare International,ORD,San Francisco International,SFO,13:56,16:31,4.58,
5,Amman - San Francisco, Monday 24 July,Queen Alia (AMM),San Francisco International (SFO),1,30.77,1979.85,,Queen Alia,AMM,O Hare International,ORD,02:15,06:50,12.58,13.58,O Hare International,ORD,San Francisco International,SFO,20:25,23:01,4.6,
6,Amman - San Francisco, Tuesday 25 July,Queen Alia (AMM),San Francisco International (SFO),1,21.43,1979.85,,Queen Alia,AMM,O Hare International,ORD,11:35,16:10,12.58,4.25,O Hare International,ORD,San Francisco International,SFO,20:25,23:01,4.6,
7,Amman - San Francisco, Tuesday 25 July,Queen Alia (AMM),San Francisco International (SFO),1,22.23,1392.85,2017.15,Queen Alia,AMM,John F. Kennedy International,JFK,12:15,17:05,11.83,3.58,John F. Kennedy International,JFK,San Francisco International,SFO,20:40,00:29,6.82,
8,Amman - San Francisco, Wednesday 26 July,Queen Alia (AMM),San Francisco International (SFO),1,21.43,1979.85,,Queen Alia,AMM,O Hare International,ORD,11:35,16:10,12.58,4.25,O Hare International,ORD,San Francisco International,SFO,20:25,23:01,4.6,
9,Amman - San Francisco, Thursday 27 July,Queen Alia (AMM),San Francisco International (SFO),1,21.43,1994.85,,Queen Alia,AMM,O Hare International,ORD,11:35,16:10,12.58,4.25,O Hare International,ORD,San Francisco International,SFO,20:25,23:01,4.6,
