Timestamp,Room_Temp(°C),COP,Power(kW),SupTemp(°C),RetTemp(°C),Amb_Hum(%RH),Amb_Temp(°C)
20/07/2022 10:45,22.5,3.2,13.3,17.03,29.79,39.3,41.42
20/07/2022 11:00,22.5,3.1,13.4,17.03,29.79,39.29,41.42
20/07/2022 11:15,22.5,3.2,13.1,17.03,29.79,,
20/07/2022 11:30,22.5,3.2,13.1,17.03,29.79,37.25,42.43
20/07/2022 11:45,22.5,3.5,13.1,17.03,30.79,37.25,42.43
20/07/2022 12:00,22.5,3.5,13.1,17.03,30.79,37.26,43.43
20/07/2022 12:15,22.5,3.5,13.1,17.03,30.79,41.29,41.38
20/07/2022 12:30,22.5,3.4,13.4,17.03,30.79,43.32,40.37
20/07/2022 12:45,22.5,3.4,13.5,17.03,30.79,42.31,40.37
20/07/2022 13:00,22.5,3.4,13.2,17.03,30.79,44.32,40.37
20/07/2022 13:15,22.5,3.4,13.4,17.03,30.79,46.33,40.37
20/07/2022 13:30,22.5,3.4,13.4,17.03,30.79,47.34,39.36
20/07/2022 13:45,22.5,3.5,13.1,17.03,30.79,49.38,39.36
20/07/2022 14:00,22.5,3.4,13.3,17.03,30.79,48.38,39.36
20/07/2022 14:15,22.5,3.5,13.1,17.03,30.79,49.4,39.36
20/07/2022 14:30,22.5,3.5,13,17.03,30.79,51.43,39.36
20/07/2022 14:45,22.5,3.5,12.8,17.03,30.79,53.44,39.36
20/07/2022 15:00,22.5,3.5,13.1,17.03,30.79,55.45,38.36
20/07/2022 15:15,22.5,3.5,12.9,17.03,30.79,55.49,38.36
20/07/2022 15:30,22.5,3.5,13.1,17.03,30.79,52.43,38.36
20/07/2022 15:45,22.5,3.5,12.9,17.03,30.79,51.4,38.36
20/07/2022 16:00,22.5,3.5,13,17.03,30.79,51.41,38.36
20/07/2022 16:15,22.5,3.4,13.2,17.03,30.79,55.45,38.36
20/07/2022 16:30,22.5,3.5,12.9,17.03,30.79,54.42,38.36
20/07/2022 16:45,22.5,3.2,13,17.03,29.79,56.43,38.36
20/07/2022 17:00,22.5,3.3,13,17.03,29.79,55.41,38.36
20/07/2022 17:15,22.5,3.2,,17.03,29.79,56.46,38.36
20/07/2022 17:30,22.5,3.3,12.8,17.03,29.79,57.47,38.36
20/07/2022 17:45,22.5,3.3,13,17.03,29.79,58.48,37.35
20/07/2022 18:00,22,0,5,17.03,29.79,58.48,37.35
20/07/2022 18:15,22.5,0,13.1,23.04,29.79,58.48,37.35
20/07/2022 18:30,22.5,3,12.7,18,29.79,59.47,36.32
20/07/2022 18:45,22.5,3.2,12.6,16.99,29.29,56.44,36.32
20/07/2022 19:00,,,12.6,,,56.44,36.32
20/07/2022 19:15,22,3.1,,16.99,28.79,54.41,36.32
20/07/2022 19:30,22.5,3,12.9,16.99,28.79,51.38,36.32
20/07/2022 19:45,22.5,3,12.8,16.99,28.79,50.38,36.32
20/07/2022 20:00,22,3.1,12.7,16.99,28.79,48.36,36.32
20/07/2022 20:15,22.5,3,13,16.99,28.79,47.35,36.32
20/07/2022 20:30,22.5,3,13,16.99,28.79,47.35,36.32
20/07/2022 20:45,22.5,3,12.9,16.99,28.79,49.37,36.32
20/07/2022 21:00,22.5,3.1,12.8,16.99,28.79,48.35,36.32
20/07/2022 21:15,22.5,3,,16.99,28.79,47.34,36.32
20/07/2022 21:30,22.5,3,12.9,16.99,28.79,47.34,36.32
20/07/2022 21:45,22.5,3,,16.99,28.79,47.34,36.32
20/07/2022 22:00,22.5,3,13.1,16.99,28.79,47.34,36.32
20/07/2022 22:15,22.5,3,12.8,16.99,28.79,47.34,36.32
20/07/2022 22:30,22.5,3.1,,16.99,28.79,47.34,36.32
20/07/2022 22:45,22.5,3,12.9,16.99,28.79,48.34,36.32
20/07/2022 23:00,22.5,3,13,16.99,28.79,50.35,36.32
20/07/2022 23:15,22.5,3,,16.99,28.79,52.37,36.32
20/07/2022 23:30,22.5,3,12.8,16.99,28.79,53.37,36.32
20/07/2022 23:45,22.5,3.1,12.8,16.99,28.79,53.37,36.32
21/07/2022 0:00,22.5,3,12.8,16.99,28.79,54.37,36.32
21/07/2022 0:15,22.5,3.1,,16.99,28.79,55.41,36.32
21/07/2022 0:30,22.5,3.1,12.8,16.99,28.79,56.42,36.32
21/07/2022 0:45,22.5,3,12.6,16.99,28.79,57.43,36.32
21/07/2022 1:00,22.5,3.1,12.8,16.99,28.79,58.43,36.32
21/07/2022 1:15,22.5,3,,16.99,28.79,58.43,36.32
21/07/2022 1:30,22.5,3.1,12.5,16.99,28.79,60.46,36.32
21/07/2022 1:45,22.5,3.1,12.6,16.99,28.79,62.46,36.32
21/07/2022 2:00,22.5,3.1,12.5,16.99,28.79,62.46,36.32
21/07/2022 2:15,22.5,3.1,12.7,16.99,28.79,63.49,36.32
21/07/2022 2:30,22.5,3.1,12.6,16.99,28.79,64.51,35.3
21/07/2022 2:45,22.5,3.1,12.8,16.99,28.79,64.51,35.3
21/07/2022 3:00,22.5,3.1,12.5,16.99,28.79,64.51,35.3
21/07/2022 3:15,22.5,3.1,12.6,16.99,28.79,64.51,35.3
21/07/2022 3:30,22.5,3.1,12.4,16.99,28.79,64.51,35.3
21/07/2022 3:45,22.5,3.1,12.7,16.99,28.79,64.51,35.3
21/07/2022 4:00,22.5,3.1,12.7,16.99,28.79,64.51,35.3
21/07/2022 4:15,22.5,3.1,12.6,16.99,28.79,63.51,35.3
21/07/2022 4:30,22.5,3.1,12.5,16.99,28.79,62.5,35.3
21/07/2022 4:45,22.5,3.1,12.6,16.99,28.79,60.46,35.3
21/07/2022 5:00,22.5,3.1,,16.99,28.79,59.45,35.3
21/07/2022 5:15,22.5,3.1,12.8,16.99,28.79,58.44,35.3
21/07/2022 5:30,22.5,3.2,12.5,16.99,28.79,57.44,35.3
21/07/2022 5:45,22.5,2.8,12.5,16.99,27.79,57.44,35.3
21/07/2022 6:00,22.5,2.9,,16.99,27.79,59.46,35.3
21/07/2022 6:15,22.5,2.8,12.6,16.99,27.79,61.47,35.3
21/07/2022 6:30,22.5,2.8,,16.99,27.79,62.49,35.3
21/07/2022 6:45,22.5,2.9,12.4,16.99,27.79,62.49,35.3
21/07/2022 7:00,22.5,2.9,,16.99,27.79,62.49,35.3
21/07/2022 7:15,22.5,2.8,12.7,16.99,27.79,61.49,35.3
21/07/2022 7:30,22.5,2.8,12.7,16.99,27.79,58.39,36.31
21/07/2022 7:45,22,2.8,,16.99,27.79,56.39,36.31
21/07/2022 8:00,22,2.8,12.8,16.99,27.79,54.37,37.34
21/07/2022 8:15,22.5,2.8,12.8,16.99,27.79,51.36,38.36
21/07/2022 8:30,22,2.7,12.7,16.99,27.79,50.33,38.36
21/07/2022 8:45,22.5,2.8,13.1,16.99,27.79,48.31,39.39
21/07/2022 9:00,22.5,2.7,12.8,16.99,27.79,44.28,39.39
21/07/2022 9:15,22,0,5,16.99,27.79,44.28,40.41
21/07/2022 9:30,22.5,0,,24.03,28.79,42.23,41.42
21/07/2022 9:45,22.5,2.7,13.2,18,28.79,42.23,41.42
21/07/2022 10:00,22,2.7,13.1,18,28.79,41.22,41.42
21/07/2022 10:15,22.5,3.2,,17,29.79,40.22,41.42
21/07/2022 10:30,22.5,3.1,13.4,17,29.79,39.21,41.42
21/07/2022 10:45,22,3.2,13.3,17,29.79,37.2,42.43
21/07/2022 11:00,22.5,3.2,,17,29.79,35.66,43.43
21/07/2022 11:15,22.5,3.4,13.6,17,30.79,,
21/07/2022 11:30,22.5,3.4,13.4,17,30.79,34.13,43.43
21/07/2022 11:45,22.5,3.3,13.7,17,30.79,33.12,44.43
21/07/2022 12:00,22.5,3.3,13.7,17,30.79,32.1,44.43
21/07/2022 12:15,22.5,3.3,13.8,17,30.79,31.1,45.44
21/07/2022 12:30,22.5,3.6,13.6,17,31.8,30.05,45.44
21/07/2022 12:45,22.5,3.6,13.6,17,31.8,36.14,44.41
